#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2017 04 28 10 00 200  3.6  3.6    MM    MM    MM  MM 1024.2   8.0    MM   5.5   MM +1.6    MM
2017 04 28 09 00 210  4.1  4.6    MM    MM    MM  MM 1023.8   8.3    MM   5.9   MM +1.7    MM
2017 04 28 08 00 230  1.0  1.5    MM    MM    MM  MM 1023.4   8.1    MM   5.8   MM +1.9    MM
2017 04 28 07 00  30  3.6  4.1    MM    MM    MM  MM 1022.6   8.7    MM   3.8   MM +1.8    MM
2017 04 28 06 00 360  2.1  2.1    MM    MM    MM  MM 1022.1   8.7    MM   4.9   MM +2.2    MM
2017 04 28 05 00  10  3.1  3.1    MM    MM    MM  MM 1021.5   8.9    MM   4.5   MM +2.1    MM
2017 04 28 04 00 330  1.5  1.5    MM    MM    MM  MM 1020.8   8.8    MM   6.0   MM +1.7    MM
2017 04 28 03 00  10  5.1  5.7    MM    MM    MM  MM 1019.9   9.6    MM   6.3   MM +0.8    MM
2017 04 28 02 00  20  6.2  6.7    MM    MM    MM  MM 1019.4   9.7    MM   5.7   MM +0.6    MM
2017 04 28 01 00  20  6.2  6.7    MM    MM    MM  MM 1019.1  10.1    MM   5.8   MM +0.3    MM
2017 04 28 00 00 360  7.2  7.7    MM    MM    MM  MM 1019.1  10.1    MM   5.1   MM +0.5    MM
2017 04 27 23 00  10  7.2  7.7    MM    MM    MM  MM 1018.8   9.9    MM   4.4   MM +0.3    MM
2017 04 27 22 00  10  6.7  6.7    MM    MM    MM  MM 1018.8   9.6    MM   4.9   MM -0.0    MM
2017 04 27 21 00  10  6.2  7.2    MM    MM    MM  MM 1018.6  10.0    MM   5.5   MM +0.0    MM
2017 04 27 20 00 360  2.6  3.1    MM    MM    MM  MM 1018.5   9.9    MM   4.1   MM +0.0    MM
2017 04 27 19 00 210  1.0  1.5    MM    MM    MM  MM 1018.8  10.2    MM   3.8   MM +0.0    MM
2017 04 27 18 00 180  1.5  2.1    MM    MM    MM  MM 1018.8   9.0    MM   4.1   MM +0.5    MM
2017 04 27 17 00 180  2.1  2.6    MM    MM    MM  MM 1018.7   8.1    MM   4.1   MM +0.8    MM
2017 04 27 16 00 180  3.6  4.1    MM    MM    MM  MM 1018.6   7.0    MM   4.0   MM +1.1    MM
2017 04 27 15 00 200  3.6  4.1    MM    MM    MM  MM 1018.3   6.6    MM   4.2   MM +1.0    MM
2017 04 27 14 00 200  6.2  6.7    MM    MM    MM  MM 1017.9   6.3    MM   4.0   MM   MM    MM
2017 04 27 13 00 200  5.7  6.2    MM    MM    MM  MM 1017.5   6.3    MM   3.8   MM +0.9    MM
2017 04 27 12 00 200  5.7  6.2    MM    MM    MM  MM 1017.3   6.8    MM   3.7   MM +0.9    MM
2017 04 27 11 00 200  6.2  6.7    MM    MM    MM  MM 1016.8   7.0    MM   4.2   MM   MM    MM
2017 04 27 10 00 190  5.7  6.2    MM    MM    MM  MM 1016.6   7.1    MM   4.5   MM +1.5    MM
2017 04 27 09 00 190  5.7  6.2    MM    MM    MM  MM 1016.4   7.3    MM   4.6   MM +1.1    MM
2017 04 27 08 00 190  6.2  6.7    MM    MM    MM  MM 1015.9   7.8    MM   4.8   MM +1.3    MM
2017 04 27 07 00 140  4.6  6.2    MM    MM    MM  MM 1015.1   6.8    MM   5.1   MM +1.6    MM
2017 04 27 06 00 130  2.6  3.6    MM    MM    MM  MM 1015.3   7.2    MM   5.4   MM +2.6    MM
2017 04 27 05 00  60  4.1  5.7    MM    MM    MM  MM 1014.6   8.0    MM   5.6   MM +2.3    MM
2017 04 27 04 00 100  4.1  6.2    MM    MM    MM  MM 1013.5   8.6    MM   6.1   MM +1.5    MM
2017 04 27 03 00  60  5.7  6.7    MM    MM    MM  MM 1012.7   8.6    MM   6.3   MM +1.1    MM
2017 04 27 02 00  80  3.6  5.7    MM    MM    MM  MM 1012.3   9.2    MM   6.9   MM +1.0    MM
2017 04 27 01 00  60  3.6  5.1    MM    MM    MM  MM 1012.0   9.6    MM   6.6   MM +0.9    MM
2017 04 27 00 00  30  4.6  5.1    MM    MM    MM  MM 1011.6   9.6    MM   6.1   MM +1.0    MM
2017 04 26 23 00  30  4.6  5.1    MM    MM    MM  MM 1011.3   9.5    MM   6.2   MM +1.4    MM
2017 04 26 22 00  20  7.2  7.7    MM    MM    MM  MM 1011.1   9.8    MM   6.6   MM +1.7    MM
2017 04 26 21 00  10  9.3  9.8    MM    MM    MM  MM 1010.6   9.4    MM   7.2   MM +1.1    MM
2017 04 26 20 00 340  6.7  7.2    MM    MM    MM  MM 1009.9   9.0    MM   6.1   MM +0.7    MM
2017 04 26 19 00 170  8.2  8.8    MM    MM    MM  MM 1009.4  10.4    MM   7.5   MM +0.6    MM
2017 04 26 18 00 170  7.2  7.7    MM    MM    MM  MM 1009.5   9.7    MM   7.4   MM +1.1    MM
2017 04 26 17 00 180  5.1  6.7    MM    MM    MM  MM 1009.2   9.5    MM   7.3   MM +1.4    MM
2017 04 26 16 00 190  8.2  9.3    MM    MM    MM  MM 1008.8   9.4    MM   7.3   MM +0.9    MM
2017 04 26 15 00 190  9.8 11.3    MM    MM    MM  MM 1008.4   9.2    MM   7.7   MM -0.0    MM
2017 04 26 14 00 190 10.8 11.8    MM    MM    MM  MM 1007.8   9.2    MM   7.6   MM -0.7    MM
2017 04 26 13 00 200 11.3 12.4    MM    MM    MM  MM 1007.9   9.3    MM   7.6   MM -0.5    MM
2017 04 26 12 00 180  9.8 11.3    MM    MM    MM  MM 1008.5   9.4    MM   7.9   MM +0.4    MM
2017 04 26 11 00 190 11.3 13.9    MM    MM    MM  MM 1008.5   9.7    MM   7.6   MM +0.6    MM
2017 04 26 10 00 190 10.3 11.8    MM    MM    MM  MM 1008.4  10.1    MM   8.4   MM +0.6    MM
